"","UNITID","OPEID","OPEID6","INSTNM","CITY","STABBR","INSTURL","NPCURL","HCM2","PREDDEG","HIGHDEG","CONTROL","LOCALE","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","RELAFFIL","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","PCIP01","PCIP03","PCIP04","PCIP05","PCIP09","PCIP10","PCIP11","PCIP12","PCIP13","PCIP14","PCIP15","PCIP16","PCIP19","PCIP22","PCIP23","PCIP24","PCIP25","PCIP26","PCIP27","PCIP29","PCIP30","PCIP31","PCIP38","PCIP39","PCIP40","PCIP41","PCIP42","PCIP43","PCIP44","PCIP45","PCIP46","PCIP47","PCIP48","PCIP49","PCIP50","PCIP51","PCIP52","PCIP54","DISTANCEONLY","UGDS","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","PPTUG_EF","CURROPER","NPT4_PUB","NPT4_PRIV","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","PCTPELL","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","PCTFLOAN","UG25ABV","MD_EARN_WNE_P10","GT_25K_P6","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C150_L4_POOLED_SUPP","C150_4_POOLED_SUPP","lat","lng"
"356",191241,272200,2722,"Fordham University","Bronx","NY","www.fordham.edu","www.fordham.edu/finaid/npc",0,3,4,2,"11","0","0","0","0","0","0","0","0","0","30","580","670","590","680","590","680","625","635","635","27","31","27","33","26","30","8","9","29","30","28","9","1273","1273","0","0.0015","0","0.0105","0.1217","0","0.0205","0","0","0.0085","0","0.0085","0","0","0.0471","0.018","0","0.0366","0.015","0","0.0175","0","0.022","0","0.0095","0","0.0721","0","0.006","0.1929","0","0","0","0","0.0516","0","0.3036","0.0366","0","8701","0.5928","0.0434","0.1432","0.095","0.001","0.0013","0.032","0.0696","0.0216","0.0477",1,"NULL","34042","NULL","NULL","NULL","NULL","NULL","21604","27030","31638","35090","39671","0.1995","0.9085","NULL","0.5517","NULL","0.5275","0.0696","57400","0.785","26000","268.833646258003","0.7652886915","NULL","0.8026",40.84985,-73.86641
"357",192040,274000,2740,"Jewish Theological Seminary of America","New York","NY","www.jtsa.edu","https://npc.collegeboard.org/student/app/jtsa",0,3,4,2,"11","0","0","0","0","0","0","0","0","0","80","660","745","630","710","680","720","703","670","700","28","32","30","34","30","33","8","10","30","32","32","9","1363","1363","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","152","0.9211","0","0.0066","0.0132","0","0","0","0.0263","0.0329","0",1,"NULL","35796","NULL","NULL","NULL","NULL","NULL","30538","23069","30120","19581","53202","0","1","NULL","NULL","NULL","0.3205","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","0.8256",40.714269,-74.005973
"358",192271,746600,7466,"LIM College","New York","NY","www.limcollege.edu","https://npc.collegeboard.org/student/app/limcollege",0,3,4,3,"11","0","0","0","0","0","0","0","0","0","NULL","430","540","410","530","420","530","485","470","475","18","24","18","25","17","23","6","8","21","22","20","7","962","962","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0455","0","0.9545","0","0","1515","0.5518","0.1452","0.1248","0.0587","0.0073","0.0053","0.0119","0.0429","0.0521","0.0574",1,"NULL","34849","NULL","NULL","NULL","NULL","NULL","30777","31646","35742","37606","39056","0.3138","0.7218","NULL","0.2","NULL","0.6456","0.0653","45800","0.771","26000","268.833646258003","0.5955882353","NULL","0.5251",40.714269,-74.005973
"359",192448,275100,2751,"LIU Post","Brookville","NY","liu.edu/CWPost","webapps2.liu.edu/netpricecalc/Calculator.aspx?campus=P",0,3,4,2,"21","0","0","0","0","0","0","0","0","0","NULL","450","550","460","560","440","550","500","510","495","19","24","20","26","18","25","7","8","22","23","22","8","1010","1010","0","0","0","0.0022","0.0349","0.0328","0.0218","0","0.1157","0","0.0044","0.0011","0","0","0.0218","0.0087","0","0.0197","0.0055","0","0.0066","0","0.0011","0","0.0022","0","0.0677","0.071","0.0131","0.0644","0","0","0","0","0.1015","0.2118","0.1856","0.0066","0","3443","0.4589","0.1176","0.1359","0.0444","0.0017","0.0006","0.0157","0.0903","0.1348","0.1112",1,"NULL","27928","NULL","NULL","NULL","NULL","NULL","22195","25033","30937","35436","31939","0.1856","0.7232","NULL","0.6667","NULL","0.2989","0.0869","46400","0.647","25500","263.663768445349","0.5307025987","NULL","0.4451",42.921171,-78.212516
"360",192703,275800,2758,"Manhattan College","Riverdale","NY","www.manhattan.edu","https://www.manhattan.edu/admissions/tuition-financial-aid/financial-aid-estimator",0,3,4,2,"11","0","0","0","0","0","0","0","0","0","30","490","580","500","610","480","590","535","555","535","22","27","NULL","NULL","NULL","NULL","NULL","NULL","25","NULL","NULL","NULL","1097","1097","0","0","0","0","0.0914","0","0.0235","0","0.1031","0.2663","0","0.0013","0","0","0.017","0.0026","0","0.0392","0.0091","0","0.0444","0","0.0026","0","0.0078","0","0.0627","0","0","0.0679","0","0","0","0","0.0013","0.0235","0.2298","0.0065","0","3576","0.5699","0.0433","0.2053","0.0467","0.0025","0.0006","0.0213","0.0277","0.0828","0.0537",1,"NULL","28114","NULL","NULL","NULL","NULL","NULL","22053","23133","29193","30763","32161","0.2918","0.8367","NULL","NULL","NULL","0.6137","0.0632","62800","0.839","26000","268.833646258003","0.8205128205","NULL","0.7364",40.90056,-73.90639
"361",192864,276900,2769,"Marymount Manhattan College","New York","NY","www.mmm.edu","https://tcc.noellevitz.com/(S(m3rwkr2kixabktmvaq3wyzbz))/Marymount%20Manhattan%20College/Freshman-Students",0,3,3,2,"11","0","0","0","0","0","0","0","0","0","NULL","470","590","440","550","480","580","530","495","530","20","26","22","28","18","26","NULL","NULL","23","25","22","NULL","1038","1038","0","0","0","0","0.1851","0","0","0","0","0","0","0","0","0","0.0221","0","0","0.0276","0","0","0.0442","0","0.0083","0","0","0","0.0608","0","0","0.0912","0","0","0","0","0.3923","0.0442","0.1105","0.0138","0","1875","0.5653","0.0987","0.1739","0.0368","0.008","0.0011","0.0123","0.0507","0.0533","0.0933",1,"NULL","34538","NULL","NULL","NULL","NULL","NULL","29228","31354","33692","34701","38103","0.2578","0.7354","NULL","NULL","NULL","0.648","0.098","40400","0.604","23500","242.984257194733","0.5960912052","NULL","0.4296",40.714269,-74.005973
"362",193292,277500,2775,"Molloy College","Rockville Centre","NY","www.molloy.edu","www.molloy.edu/admissions-and-aid/financial-aid/net-price-calculator",0,3,4,2,"21","0","0","0","0","0","0","0","0","0","30","480","570","490","580","470","560","525","535","515","21","26","NULL","NULL","NULL","NULL","NULL","NULL","24","NULL","NULL","NULL","1067","1067","0","0","0","0","0.0299","0","0.0037","0","0.1047","0","0","0","0","0","0.0125","0.0262","0","0.0237","0.005","0","0","0","0.0012","0","0","0","0.0449","0.0436","0.0137","0.0112","0","0","0","0","0.0125","0.5561","0.0985","0.0125","0","3373","0.5989","0.1248","0.1515","0.0706","0.0047","0.0039","0.0107","0.003","0.032","0.1859",1,"NULL","27427","NULL","NULL","NULL","NULL","NULL","22680","23733","25766","28604","30437","0.3097","0.8747","NULL","0.5","NULL","0.6862","0.2242","57500","0.822","27000","279.173401883311","0.6555634302","NULL","0.7051",42.839816,-78.782916
"363",193399,270300,2703,"College of Mount Saint Vincent","Bronx","NY","www.mountsaintvincent.edu","https://www.mountsaintvincent.edu/admission/financial-aid/net-price-calculator/",0,3,4,2,"11","0","0","0","0","0","1","0","0","0","30","410","500","400","490","410","490","455","445","450","18","22","16","21","16","22","6","8","20","19","19","7","906","906","0","0","0","0","0.1064","0","0","0","0.0028","0","0","0","0","0","0.0224","0.0196","0","0.0532","0.0056","0","0.0084","0","0","0","0","0","0.1008","0","0","0.0784","0","0","0","0","0.0028","0.4426","0.1345","0.0224","0","1586","0.268","0.1463","0.3859","0.0952","0.0006","0.0006","0.0485","0.017","0.0378","0.0511",1,"NULL","18425","NULL","NULL","NULL","NULL","NULL","14907","16164","16877","21373","23298","0.4673","0.778","NULL","NULL","NULL","0.8256","0.1098","50100","0.724","27000","279.173401883311","0.5782997763","NULL","0.5484",40.84985,-73.86641
"364",193900,278500,2785,"New York University","New York","NY","www.nyu.edu","www.nyu.edu/financial.aid/misc/npc/",0,3,4,2,"11","0","0","0","0","0","0","0","0","0","NULL","620","720","630","750","630","730","670","690","680","29","32","NULL","NULL","NULL","NULL","NULL","NULL","31","NULL","NULL","NULL","1360","1360","0","0","0","0.0073","0.0549","0.002","0.0272","0","0.0183","0.0465","0","0.0109","0.0066","0","0.0167","0.0923","0","0.0367","0.0139","0","0.0002","0","0.0069","0","0.0119","0","0.0516","0","0.0077","0.1537","0","0","0","0","0.1925","0.0935","0.1382","0.0105","0","25314","0.3371","0.0541","0.1229","0.1991","0.0016","0.0012","0.0386","0.166","0.0794","0.042",1,"NULL","36419","NULL","NULL","NULL","NULL","NULL","23592","24162","31944","38486","51088","0.2179","0.932","NULL","0.6585","NULL","0.3781","0.0435","59600","0.756","23250","240.399318288406","0.7741336634","NULL","0.8346",40.714269,-74.005973
"365",194116,2069000,20690,"New York School of Interior Design","New York","NY","www.nysid.edu","www.nysid.edu/netpricecalculator",0,3,4,2,"11","0","0","0","0","0","0","0","0","0","NULL","500","620","465","545","495","630","560","505","563","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1065","1065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","334","0.479","0.0389","0.0898","0.0329","0","0","0.021","0.1407","0.1976","0.6168",1,"NULL","35806","NULL","NULL","NULL","NULL","NULL","27124","NULL","39943","35279","41404","0.188","0.8","NULL","1","NULL","0.3181","0.5144","40800","0.694","PrivacySuppressed","PrivacySuppressed","0.6111111111","NULL","0.5455",40.714269,-74.005973
